Date,GOOGLE_holding
11/1/2018 3:41,31387
11/1/2018 4:41,31387
11/1/2018 5:41,31387
11/1/2018 6:41,31387
11/1/2018 7:41,31387
11/1/2018 8:41,31387
11/1/2018 9:41,31387
11/1/2018 10:41,31383
11/1/2018 11:41,31383
11/1/2018 12:41,31383
11/1/2018 13:41,31381
11/1/2018 14:41,31391
11/1/2018 15:41,31403
11/1/2018 16:41,31431
11/1/2018 17:41,31463
11/1/2018 18:41,31473
11/1/2018 19:41,31494
11/1/2018 20:41,31501
11/1/2018 21:41,31491
11/1/2018 22:41,31475
11/1/2018 23:41,31475
11/2/2018 0:41,31475
11/2/2018 1:41,31475
11/2/2018 2:41,31475
11/2/2018 3:41,31475
11/2/2018 4:41,31475
11/2/2018 5:41,31475
11/2/2018 6:41,31475
11/2/2018 7:41,31475
11/2/2018 8:41,31475
11/2/2018 9:41,31475
11/2/2018 10:41,31473
11/2/2018 11:41,31473
11/2/2018 12:41,31473
11/2/2018 14:06,31476
11/2/2018 14:41,31476
11/2/2018 15:41,31502
11/2/2018 16:41,31511
11/2/2018 17:41,31523
11/2/2018 18:41,31539
11/2/2018 19:41,31555
11/2/2018 20:41,31573
11/2/2018 21:41,31576
11/2/2018 22:41,31582
11/2/2018 23:41,31582
11/3/2018 0:41,31582
11/3/2018 1:41,31582
11/3/2018 2:41,31582
11/3/2018 3:41,31582
11/3/2018 4:41,31582
11/3/2018 5:41,31582
11/3/2018 6:41,31582
11/3/2018 7:41,31582
11/3/2018 8:41,31582
11/3/2018 9:41,31582
11/3/2018 10:41,31579
11/3/2018 11:41,31579
11/3/2018 12:41,31579
11/3/2018 13:41,31579
11/3/2018 14:41,31579
11/3/2018 15:41,31579
11/3/2018 16:41,31579
11/3/2018 17:41,31579
11/3/2018 18:41,31579
11/3/2018 19:41,31579
11/3/2018 20:41,31579
11/3/2018 21:42,31579
11/3/2018 22:41,31579
11/3/2018 23:41,31579
11/4/2018 0:41,31579
11/4/2018 1:41,31579
11/4/2018 2:41,31579
11/4/2018 3:41,31579
11/4/2018 4:41,31579
11/4/2018 5:41,31579
11/4/2018 6:41,31579
11/4/2018 7:41,31579
11/4/2018 8:41,31579
11/4/2018 9:41,31579
11/4/2018 10:41,31579
11/4/2018 11:41,31579
11/4/2018 12:41,31579
11/4/2018 13:41,31579
11/4/2018 14:41,31579
11/4/2018 15:41,31579
11/4/2018 16:41,31579
11/4/2018 17:41,31579
11/4/2018 18:41,31579
11/4/2018 19:41,31579
11/4/2018 20:41,31579
11/4/2018 21:41,31579
11/4/2018 22:41,31579
11/4/2018 23:41,31579
11/5/2018 0:41,31579
11/5/2018 1:41,31579
11/5/2018 2:41,31579
11/5/2018 3:41,31579
11/5/2018 4:41,31579
11/5/2018 5:41,31579
11/5/2018 6:41,31579
11/5/2018 7:41,31579
11/5/2018 8:41,31579
11/5/2018 9:41,31579
11/5/2018 10:41,31579
11/5/2018 11:41,31579
11/5/2018 12:41,31579
11/5/2018 13:41,31579
11/5/2018 14:41,31579
11/5/2018 15:41,31563
11/5/2018 16:41,31574
11/5/2018 17:41,31641
11/5/2018 18:41,31692
11/5/2018 19:41,31724
11/5/2018 20:41,31757
11/5/2018 21:41,31765
11/5/2018 22:41,31762
11/5/2018 23:41,31764
11/6/2018 0:41,31764
11/6/2018 1:41,31764
11/6/2018 2:41,31764
11/6/2018 3:41,31764
11/6/2018 4:41,31764
11/6/2018 5:41,31764
11/6/2018 6:41,31764
11/6/2018 7:41,31764
11/6/2018 8:41,31764
11/6/2018 9:41,31764
11/6/2018 10:41,31764
11/6/2018 11:41,31762
11/6/2018 12:41,31762
11/6/2018 13:41,31762
11/6/2018 14:41,31762
11/6/2018 15:41,31734
11/6/2018 16:41,31704
11/6/2018 17:41,31708
11/6/2018 18:41,31708
11/6/2018 19:41,31713
11/6/2018 20:41,31732
11/6/2018 21:41,31725
11/6/2018 22:41,31724
11/6/2018 23:41,31729
11/7/2018 0:41,31729
11/7/2018 1:41,31729
11/7/2018 2:41,31729
11/7/2018 3:41,31729
11/7/2018 4:41,31729
11/7/2018 5:41,31729
11/7/2018 6:41,31729
11/7/2018 7:41,31729
11/7/2018 8:41,31729
11/7/2018 9:41,31729
11/7/2018 10:41,31729
11/7/2018 11:41,31727
11/7/2018 12:41,31727
11/7/2018 13:41,31727
11/7/2018 14:41,31728
11/7/2018 15:41,31672
11/7/2018 16:41,31643
11/7/2018 17:41,31654
11/7/2018 18:41,31634
11/7/2018 19:41,31634
11/7/2018 20:41,31588
11/7/2018 21:41,31553
11/7/2018 22:41,31531
11/7/2018 23:41,31529
11/8/2018 0:41,31529
11/8/2018 1:41,31529
11/8/2018 2:41,31529
11/8/2018 3:41,31529
11/8/2018 4:41,31529
11/8/2018 5:41,31529
11/8/2018 6:41,31529
11/8/2018 7:41,31529
11/8/2018 8:41,31529
11/8/2018 9:41,31529
11/8/2018 10:41,31531
11/8/2018 11:41,31530
11/8/2018 12:41,31530
11/8/2018 13:41,31530
11/8/2018 14:41,31533
11/8/2018 15:41,31524
11/8/2018 16:41,31595
11/8/2018 17:41,31646
11/8/2018 18:41,31656
11/8/2018 19:41,31670
11/8/2018 20:41,31689
11/8/2018 21:41,31701
11/8/2018 22:41,31698
11/8/2018 23:41,31703
11/9/2018 0:41,31703
11/9/2018 1:41,31703
11/9/2018 2:41,31703
11/9/2018 3:41,31703
11/9/2018 4:41,31703
11/9/2018 5:41,31703
11/9/2018 6:41,31703
11/9/2018 7:41,31703
11/9/2018 8:41,31703
11/9/2018 9:41,31703
11/9/2018 10:41,31702
11/9/2018 11:41,31700
11/9/2018 12:41,31700
11/9/2018 13:41,31700
11/9/2018 15:05,31668
11/9/2018 15:41,31668
11/9/2018 16:41,31676
11/9/2018 17:41,31700
11/9/2018 18:41,31727
11/9/2018 19:41,31747
11/9/2018 20:41,31759
11/9/2018 21:41,31772
11/9/2018 22:41,31776
11/9/2018 23:41,31777
11/10/2018 0:41,31777
11/10/2018 1:41,31777
11/10/2018 2:41,31777
11/10/2018 3:41,31777
11/10/2018 4:41,31777
11/10/2018 5:41,31777
11/10/2018 6:41,31777
11/10/2018 7:41,31777
11/10/2018 8:41,31777
11/10/2018 9:41,31777
11/10/2018 10:41,31777
11/10/2018 11:41,31777
11/10/2018 12:41,31777
11/10/2018 13:41,31777
11/10/2018 14:41,31777
11/10/2018 15:41,31777
11/10/2018 16:41,31777
11/10/2018 17:41,31777
11/10/2018 18:41,31777
11/10/2018 19:41,31777
11/10/2018 20:41,31777
11/10/2018 21:41,31777
11/10/2018 22:41,31777
11/10/2018 23:41,31777
11/11/2018 0:41,31777
11/11/2018 1:41,31777
11/11/2018 2:41,31777
11/11/2018 3:41,31777
11/11/2018 4:41,31777
11/11/2018 5:41,31777
11/11/2018 6:41,31777
11/11/2018 7:41,31777
11/11/2018 8:41,31777
11/11/2018 9:41,31777
11/11/2018 10:41,31777
11/11/2018 11:41,31777
11/11/2018 12:41,31777
11/11/2018 13:41,31777
11/11/2018 14:41,31777
