timestamp,users_holding
"2018-05-12 15:44:02",32162
"2018-05-12 16:44:00",32162
"2018-05-12 17:44:01",32162
"2018-05-12 18:43:59",32162
"2018-05-12 19:44:01",32162
"2018-05-12 20:44:00",32162
"2018-05-12 21:43:59",32162
"2018-05-12 22:44:00",32162
"2018-05-12 23:44:00",32162
"2018-05-13 00:44:01",32162
"2018-05-13 01:44:00",32162
"2018-05-13 02:43:59",32162
"2018-05-13 03:44:00",32162
"2018-05-13 04:44:01",32162
"2018-05-13 05:44:00",32162
"2018-05-13 06:44:01",32162
"2018-05-13 07:44:00",32162
"2018-05-13 08:44:00",32162
"2018-05-13 09:44:00",32162
"2018-05-13 10:43:59",32162
"2018-05-13 11:43:59",32162
"2018-05-13 12:44:00",32162
"2018-05-13 13:44:00",32162
"2018-05-13 14:44:00",32162
"2018-05-13 15:44:00",32162
"2018-05-13 16:44:01",32162
"2018-05-13 17:44:00",32162
"2018-05-13 18:44:01",32162
"2018-05-13 19:43:59",32162
"2018-05-13 20:44:01",32162
"2018-05-13 21:44:00",32162
"2018-05-13 22:44:01",32162
"2018-05-13 23:44:01",32162
"2018-05-14 00:44:01",32162
"2018-05-14 01:44:01",32162
"2018-05-14 02:44:01",32162
"2018-05-14 03:44:00",32162
"2018-05-14 04:44:01",32162
"2018-05-14 05:44:00",32162
"2018-05-14 06:43:59",32162
"2018-05-14 07:44:00",32162
"2018-05-14 08:43:59",32162
"2018-05-14 09:44:00",32165
"2018-05-14 10:44:00",32165
"2018-05-14 11:44:00",32165
"2018-05-14 12:43:59",32165
"2018-05-14 13:44:03",32167
"2018-05-14 14:44:01",32299
"2018-05-14 15:44:00",32354
"2018-05-14 16:44:00",32357
"2018-05-14 17:44:00",32383
"2018-05-14 18:44:02",32390
"2018-05-14 19:44:00",32411
"2018-05-14 20:44:00",32445
"2018-05-14 21:44:00",32450
"2018-05-14 22:44:01",32455
"2018-05-14 23:44:01",32455
"2018-05-15 00:44:01",32455
"2018-05-15 01:44:01",32455
"2018-05-15 02:44:01",32455
"2018-05-15 03:44:00",32455
