Date,Amazon_holding
12/4/2019 18:49,117859
12/4/2019 19:49,117883
12/4/2019 20:49,117957
12/4/2019 21:49,118016
12/4/2019 22:49,118048
12/4/2019 23:49,118058
12/5/2019 0:49,118058
12/5/2019 1:49,118058
12/5/2019 2:49,118058
12/5/2019 3:49,118058
12/5/2019 4:49,118058
12/5/2019 6:49,118047
12/5/2019 7:49,118047
12/5/2019 8:49,118047
12/5/2019 9:49,118047
12/5/2019 10:49,118047
12/5/2019 11:49,118047
12/5/2019 12:49,118047
12/5/2019 13:49,118047
12/5/2019 14:49,118048
12/5/2019 15:49,118191
12/5/2019 16:49,118191
12/5/2019 17:49,118370
12/5/2019 18:49,118459
12/5/2019 20:11,118572
12/5/2019 20:49,118572
12/5/2019 21:49,118665
12/5/2019 22:49,118712
12/5/2019 23:49,118742
12/6/2019 0:49,118742
12/6/2019 1:49,118742
12/6/2019 2:49,118742
12/6/2019 3:49,118742
12/6/2019 4:49,118742
12/6/2019 5:49,118729
12/6/2019 6:49,118729
12/6/2019 7:49,118729
12/6/2019 8:49,118729
12/6/2019 9:49,118729
12/6/2019 10:49,118729
12/6/2019 11:49,118729
12/6/2019 12:49,118729
12/6/2019 13:51,118729
12/6/2019 14:49,118731
12/6/2019 15:50,118818
12/6/2019 16:49,118826
12/6/2019 17:49,118952
12/6/2019 18:49,118957
12/6/2019 19:49,118960
12/6/2019 20:49,118960
12/6/2019 21:49,118938
12/6/2019 22:49,118949
12/6/2019 23:49,118951
12/7/2019 0:49,118951
12/7/2019 1:50,118951
12/7/2019 2:49,118951
12/7/2019 3:49,118951
12/7/2019 4:49,118951
12/7/2019 5:50,118936
12/7/2019 6:49,118936
12/7/2019 7:49,118936
12/7/2019 8:49,118936
12/7/2019 9:49,118936
12/7/2019 10:49,118936
12/7/2019 11:49,118936
12/7/2019 12:49,118936
12/7/2019 13:50,118936
12/7/2019 14:49,118936
12/7/2019 15:49,118936
12/7/2019 16:49,118936
12/7/2019 17:49,118936
12/7/2019 18:49,118936
12/7/2019 19:49,118936
12/7/2019 20:49,118936
12/7/2019 21:49,118936
12/7/2019 22:49,118936
12/7/2019 23:49,118936
12/8/2019 0:49,118936
12/8/2019 1:49,118936
12/8/2019 2:49,118936
12/8/2019 3:49,118936
12/8/2019 4:49,118936
12/8/2019 5:49,118936
12/8/2019 6:49,118936
12/8/2019 7:49,118936
12/8/2019 8:49,118936
12/8/2019 9:49,118936
12/8/2019 10:49,118936
12/8/2019 11:49,118936
12/8/2019 12:49,118936
12/8/2019 13:49,118936
12/8/2019 14:49,118936
12/8/2019 15:49,118936
12/8/2019 16:49,118936
12/8/2019 17:49,118936
12/8/2019 18:49,118936
12/8/2019 19:49,118936
12/8/2019 20:49,118936
12/8/2019 21:49,118936
12/8/2019 22:49,118936
12/8/2019 23:49,118936
12/9/2019 0:49,118936
12/9/2019 1:49,118936
12/9/2019 2:49,118936
12/9/2019 3:49,118936
12/9/2019 4:49,118936
12/9/2019 5:49,118936
12/9/2019 6:49,118937
12/9/2019 7:49,118937
12/9/2019 8:49,118937
12/9/2019 9:49,118937
12/9/2019 10:49,118937
12/9/2019 11:49,118937
12/9/2019 12:49,118937
12/9/2019 14:11,118941
12/9/2019 14:49,118941
12/9/2019 15:49,118850
12/9/2019 16:49,118809
12/9/2019 17:50,118809
12/9/2019 18:49,118792
12/9/2019 19:49,118807
12/9/2019 20:49,118867
12/9/2019 21:49,118883
12/9/2019 22:49,118903
12/9/2019 23:49,118909
12/10/2019 0:49,118909
12/10/2019 1:49,118909
12/10/2019 2:49,118909
12/10/2019 3:49,118909
12/10/2019 4:49,118909
12/10/2019 5:49,118900
12/10/2019 6:49,118901
12/10/2019 7:49,118901
12/10/2019 8:49,118901
12/10/2019 9:49,118901
12/10/2019 10:49,118901
12/10/2019 11:49,118901
12/10/2019 12:49,118901
12/10/2019 13:49,118901
12/10/2019 14:49,118901
12/10/2019 15:49,118934
12/10/2019 16:49,118955
12/10/2019 17:49,119010
12/10/2019 18:49,119109
12/10/2019 19:49,119178
12/10/2019 20:49,119240
12/10/2019 21:49,119262
12/10/2019 22:49,119268
12/10/2019 23:49,119273
12/11/2019 0:49,119273
12/11/2019 1:50,119273
12/11/2019 2:50,119273
12/11/2019 3:49,119273
12/11/2019 4:49,119273
12/11/2019 5:49,119273
12/11/2019 6:49,119273
12/11/2019 7:49,119256
12/11/2019 8:49,119256
12/11/2019 9:49,119256
12/11/2019 10:49,119256
12/11/2019 11:49,119256
12/11/2019 12:49,119256
12/11/2019 13:49,119256
12/11/2019 14:50,119256
12/11/2019 15:49,119267
12/11/2019 16:49,119292
12/11/2019 17:50,119326
12/11/2019 18:49,119357
12/11/2019 19:50,119373
12/11/2019 20:50,119342
12/11/2019 21:49,119299
12/11/2019 22:49,119279
12/11/2019 23:50,119281
12/12/2019 0:49,119281
12/12/2019 1:50,119281
12/12/2019 2:49,119281
12/12/2019 3:49,119281
12/12/2019 4:49,119281
12/12/2019 5:49,119268
12/12/2019 6:50,119267
12/12/2019 7:49,119267
12/12/2019 8:49,119267
12/12/2019 9:49,119267
12/12/2019 10:49,119267
12/12/2019 11:49,119267
12/12/2019 12:49,119267
12/12/2019 14:10,119269
12/12/2019 15:49,119171
12/12/2019 16:49,119054
12/12/2019 17:49,118987
12/12/2019 18:49,119026
12/12/2019 19:49,119034
12/12/2019 20:49,118998
12/12/2019 21:49,118888
12/12/2019 22:49,118868
12/12/2019 23:49,118867
12/13/2019 0:50,118867
12/13/2019 1:51,118867
12/13/2019 2:51,118867
12/13/2019 3:51,118867
12/13/2019 4:51,118867
12/13/2019 5:51,118859
12/13/2019 6:51,118859
12/13/2019 8:50,118859
12/13/2019 9:51,118859
12/13/2019 10:50,118859
12/13/2019 11:50,118859
12/13/2019 12:50,118859
12/13/2019 14:42,118857
12/13/2019 14:51,118857
12/13/2019 15:51,118868
12/13/2019 16:51,118866
12/13/2019 17:51,118838
12/13/2019 18:51,118813
12/13/2019 19:51,118749
12/13/2019 20:51,118715
12/13/2019 21:50,118710
12/13/2019 22:50,118713
12/13/2019 23:50,118720
12/14/2019 0:50,118720
12/14/2019 1:50,118720
12/14/2019 2:50,118720
12/14/2019 4:51,118720
12/14/2019 5:51,118720
12/14/2019 6:50,118708
12/14/2019 7:50,118708
12/14/2019 8:50,118708
12/14/2019 9:50,118708
12/14/2019 10:50,118708
12/14/2019 11:50,118708
12/14/2019 12:50,118708
12/14/2019 13:51,118708
12/14/2019 14:50,118708
12/14/2019 15:51,118708
12/14/2019 16:51,118708
12/14/2019 17:50,118708
12/14/2019 18:51,118708
12/14/2019 19:50,118708
12/14/2019 22:51,118708
12/14/2019 23:50,118708
12/15/2019 0:51,118708
12/15/2019 1:51,118708
12/15/2019 2:51,118708
12/15/2019 3:50,118708
12/15/2019 4:51,118708
12/15/2019 5:50,118708
12/15/2019 6:50,118708
12/15/2019 7:50,118708
12/15/2019 8:50,118708
12/15/2019 9:50,118708
12/15/2019 10:50,118708
12/15/2019 11:50,118708
12/15/2019 13:50,118708
12/15/2019 14:50,118708
12/15/2019 15:51,118708
12/15/2019 17:51,118708
12/15/2019 19:50,118708
12/15/2019 20:50,118708
12/15/2019 21:50,118708
12/15/2019 22:50,118708
12/15/2019 23:51,118708
12/16/2019 0:50,118708
12/16/2019 1:51,118708
12/16/2019 2:50,118708
12/16/2019 4:51,118708
12/16/2019 5:51,118708
12/16/2019 6:51,118707
12/16/2019 7:50,118707
12/16/2019 8:50,118707
12/16/2019 9:50,118707
12/16/2019 10:50,118707
12/16/2019 11:50,118707
12/16/2019 12:50,118707
12/16/2019 13:50,118707
12/16/2019 14:53,118707
12/16/2019 16:09,118806
12/16/2019 16:51,118806
