,,,,,,,,,,,,,,,,,
Date,Google,Date,FB,Date,Apple,Date,Amazon,Date,Costco,Date,Walmart,Date,American_airline,Date,McDonald,Date,Wells_Fargo
2/25/2010 16:00,3309373,7/11/2012 16:00,13027752,2/25/2010 16:00,23764152,2/25/2010 16:00,9535889,2/25/2010 16:00,3533947,2/25/2010 16:00,13510073,2/25/2010 16:00,8248259,2/25/2010 16:00,8499955,2/25/2010 16:00,34185552
2/26/2010 16:00,2049372,7/12/2012 16:00,11306636,2/26/2010 16:00,18123580,2/26/2010 16:00,5721864,2/26/2010 16:00,3681865,2/26/2010 16:00,15953097,2/26/2010 16:00,21029556,2/26/2010 16:00,8288530,2/26/2010 16:00,50826048
3/1/2010 16:00,2238334,7/13/2012 16:00,8117346,3/1/2010 16:00,19646168,3/1/2010 16:00,13300501,3/1/2010 16:00,4031690,3/1/2010 16:00,12129735,3/1/2010 16:00,15066500,3/1/2010 16:00,6320241,3/1/2010 16:00,34312608
3/2/2010 16:00,4357461,7/16/2012 16:00,24672074,3/2/2010 16:00,20233736,3/2/2010 16:00,12098298,3/2/2010 16:00,4129848,3/2/2010 16:00,14083621,3/2/2010 16:00,12489087,3/2/2010 16:00,6271660,3/2/2010 16:00,45598528
3/3/2010 16:00,3090124,7/17/2012 16:00,30438552,3/3/2010 16:00,13294242,3/3/2010 16:00,6443021,3/3/2010 16:00,10153492,3/3/2010 16:00,11631120,3/3/2010 16:00,9597982,3/3/2010 16:00,6396071,3/3/2010 16:00,35902108
3/4/2010 16:00,3184077,7/18/2012 16:00,16841780,3/4/2010 16:00,13072848,3/4/2010 16:00,7509644,3/4/2010 16:00,3286076,3/4/2010 16:00,11211800,3/4/2010 16:00,8075383,3/4/2010 16:00,5958183,3/4/2010 16:00,30892468
3/5/2010 16:00,3913364,7/19/2012 16:00,13685031,3/5/2010 16:00,32129228,3/5/2010 16:00,6771126,3/5/2010 16:00,3514759,3/5/2010 16:00,11375086,3/5/2010 16:00,8281548,3/5/2010 16:00,8154960,3/5/2010 16:00,40554044
3/8/2010 16:00,2386506,7/20/2012 16:00,11869046,3/8/2010 16:00,15353177,3/8/2010 16:00,5607327,3/8/2010 16:00,3020305,3/8/2010 16:00,7556638,3/8/2010 16:00,13752881,3/8/2010 16:00,11826193,3/8/2010 16:00,31311852
3/9/2010 16:00,3177588,7/23/2012 16:00,12393864,3/9/2010 16:00,32866380,3/9/2010 16:00,6071029,3/9/2010 16:00,3186925,3/9/2010 16:00,12585199,3/9/2010 16:00,32433656,3/9/2010 16:00,7126830,3/9/2010 16:00,31295588
3/10/2010 16:00,5659067,7/24/2012 16:00,11539799,3/10/2010 16:00,21293448,3/10/2010 16:00,5627431,3/10/2010 16:00,3248590,3/10/2010 16:00,12697801,3/10/2010 16:00,24795720,3/10/2010 16:00,6900215,3/10/2010 16:00,42574808
